file,k,fold,train_acc,test_acc
03_sequential_covering.py,16,1,0.6212726713802643,0.6346863468634686
03_sequential_covering.py,16,2,0.6261912081155856,0.6097785977859779
03_sequential_covering.py,16,3,0.6286504764832462,0.6023985239852399
03_sequential_covering.py,16,4,0.6142022748232401,0.6559040590405905
03_sequential_covering.py,26,1,0.6212726713802643,0.6346863468634686
03_sequential_covering.py,26,2,0.6261912081155856,0.6097785977859779
03_sequential_covering.py,26,3,0.6286504764832462,0.6023985239852399
03_sequential_covering.py,26,4,0.6142022748232401,0.6559040590405905
03_sequential_covering.py,21,1,0.6212726713802643,0.6346863468634686
03_sequential_covering.py,21,2,0.6261912081155856,0.6097785977859779
03_sequential_covering.py,21,3,0.6286504764832462,0.6023985239852399
03_sequential_covering.py,21,4,0.6142022748232401,0.6559040590405905
03_sequential_covering.py,31,1,0.6212726713802643,0.6346863468634686
03_sequential_covering.py,31,2,0.6261912081155856,0.6097785977859779
03_sequential_covering.py,31,3,0.6286504764832462,0.6023985239852399
03_sequential_covering.py,31,4,0.6142022748232401,0.6559040590405905
04_another_classifier.py,31,1,0.6464801721487857,0.6356088560885609
04_another_classifier.py,31,2,0.6922840454964648,0.6143911439114391
04_another_classifier.py,31,3,0.6692284045496465,0.6420664206642066
04_another_classifier.py,31,4,0.6378727328619735,0.6420664206642066
02_decision_tree.py,41,1,0.7193359975407316,0.6678966789667896
02_decision_tree.py,41,2,0.7291730710113741,0.6605166051660517
02_decision_tree.py,41,3,0.7205656317245619,0.6660516605166051
02_decision_tree.py,41,4,0.7196434060866892,0.6715867158671587
02_decision_tree.py,46,1,0.7193359975407316,0.6678966789667896
02_decision_tree.py,46,2,0.7291730710113741,0.6605166051660517
02_decision_tree.py,46,3,0.7205656317245619,0.6660516605166051
02_decision_tree.py,46,4,0.7196434060866892,0.6715867158671587
02_decision_tree.py,36,1,0.7193359975407316,0.6678966789667896
02_decision_tree.py,36,2,0.7291730710113741,0.6605166051660517
02_decision_tree.py,36,3,0.7205656317245619,0.6660516605166051
02_decision_tree.py,36,4,0.70304334460498,0.6605166051660517
04_another_classifier.py,36,1,0.7193359975407316,0.6642066420664207
04_another_classifier.py,36,2,0.7291730710113741,0.6586715867158671
04_another_classifier.py,36,3,0.7205656317245619,0.6743542435424354
04_another_classifier.py,36,4,0.70304334460498,0.6623616236162362
04_another_classifier.py,51,1,0.7193359975407316,0.6642066420664207
04_another_classifier.py,51,2,0.7291730710113741,0.6586715867158671
04_another_classifier.py,51,3,0.7205656317245619,0.6743542435424354
04_another_classifier.py,51,4,0.7196434060866892,0.6642066420664207
02_decision_tree.py,51,1,0.7193359975407316,0.6678966789667896
02_decision_tree.py,51,2,0.7291730710113741,0.6605166051660517
02_decision_tree.py,51,3,0.7205656317245619,0.6660516605166051
02_decision_tree.py,51,4,0.7196434060866892,0.6715867158671587
04_another_classifier.py,46,1,0.7193359975407316,0.6642066420664207
